Title,Author1,Date,Publisher,DOI
Asymmetric collaboration through tele-presence,Ashutosh Morde,October 2004,ETP '04: Proceedings of the 2004 ACM SIGMM workshop on Effective telepresence,https://dl.acm.org/doi/10.1145/1026776.1026793
Asymmetric device interaction with projector-camera systems,Baris Unver,Public Access,UbiComp '17: Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers,https://dl.acm.org/doi/10.1145/3123024.3123192
Towards seamless interaction between physical and virtual locations for asymmetric collaboration,Damien Clergeaud,November 2017,VRST '17: Proceedings of the 23rd ACM Symposium on Virtual Reality Software and Technology,https://dl.acm.org/doi/10.1145/3139131.3139165
When Cloud Meets Uncertain Crowd,Yifei Zhu,October 2017,MM '17: Proceedings of the 25th ACM international conference on Multimedia,https://dl.acm.org/doi/10.1145/3123266.3123384
"""Who's in charge here?"" communicating across unequal computer platforms",Maria Velez,December 2004,"ACM Transactions on Computer-Human Interaction (TOCHI), Volume 11, Issue 4",https://dl.acm.org/doi/10.1145/1035575.1035579
TeleSight,Taichi Furukawa,July 2019,SIGGRAPH '19: ACM SIGGRAPH 2019 Emerging Technologies,https://dl.acm.org/doi/10.1145/3305367.3335040
Cross-Reality Gaming: Comparing Competition and Collaboration in an Asymmetric Gaming Experience,Sungchul Jung,Open Access,VRST '23: Proceedings of the 29th ACM Symposium on Virtual Reality Software and Technology,https://dl.acm.org/doi/10.1145/3611659.3615698
TransceiVR,Balasaravanan Thoravi Kumaravel,Open Access,UIST '20: Proceedings of the 33rd Annual ACM Symposium on User Interface Software and Technology,https://dl.acm.org/doi/10.1145/3379337.3415827
A Composite Framework of Co-located Asymmetric Virtual Reality,Kaitlyn M. Ouverson,Open Access,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 5, Issue CSCW1",https://dl.acm.org/doi/10.1145/3449079
WebTransceiVR,Haohua Lyu,Open Access,CHI EA '22: Extended Abstracts of the 2022 CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3491101.3519816
Tele-collaboration in Parallel Worlds,S. Kicha Ganapathy,November 2003,ETP '03: Proceedings of the 2003 ACM SIGMM workshop on Experiential telepresence,https://dl.acm.org/doi/10.1145/982484.982496
"“Oh, that’s where you are!” – Towards a Hybrid Asymmetric Collaborative Immersive Analytics System",Nico Reski,October 2020,"NordiCHI '20: Proceedings of the 11th Nordic Conference on Human-Computer Interaction: Shaping Experiences, Shaping Society",https://dl.acm.org/doi/10.1145/3419249.3420102
Understanding Multi-View Collaboration between Augmented Reality and Remote Desktop Users,Arthur Fages,November 2022,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 6, Issue CSCW2",https://dl.acm.org/doi/10.1145/3555607
Collaboration in parallel worlds,Ashutosh Morde,October 2004,ICMI '04: Proceedings of the 6th international conference on Multimodal interfaces,https://dl.acm.org/doi/10.1145/1027933.1027994
Using teamwork and taskwork to study mixed-focus collaboration,James R. Wallace,February 2012,CSCW '12: Proceedings of the ACM 2012 conference on Computer Supported Cooperative Work Companion,https://dl.acm.org/doi/10.1145/2141512.2141613
Volumetric Hybrid Workspaces: Interactions with Objects in Remote and Co-located Telepresence,Andrew Irlitti,Open Access,CHI '24: Proceedings of the CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3613904.3642814
Fostering collaboration with asymmetric roles in accessible programming environments for children with mixed-visual-abilities,Filipa Rocha,October 2021,ASSETS '21: Proceedings of the 23rd International ACM SIGACCESS Conference on Computers and Accessibility,https://dl.acm.org/doi/10.1145/3441852.3476553
Collaborative Computing for Heterogeneous Integrated Systems,Li-Wen Chang,April 2017,ICPE '17: Proceedings of the 8th ACM/SPEC on International Conference on Performance Engineering,https://dl.acm.org/doi/10.1145/3030207.3030244
Designing for Heterogeneous Cross-Device Collaboration and Social Interaction in Virtual Reality,Patrick Aggergaard Olin,February 2021,OzCHI '20: Proceedings of the 32nd Australian Conference on Human-Computer Interaction,https://dl.acm.org/doi/10.1145/3441000.3441070
How Augmented Reality can be fitted to satisfy maritime domain needs -- the case of VISIPROT® demonstrator,Gérald Moulis,April 2015,VRIC '15: Proceedings of the 2015 Virtual Reality International Conference,https://dl.acm.org/doi/10.1145/2806173.2806200
Re-locations: Augmenting Personal and Shared Workspaces to Support Remote Collaboration in Incongruent Spaces,Daniel Immanuel Fink,Open Access,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 6, Issue ISS",https://dl.acm.org/doi/10.1145/3567709
On the Use of Multi-sensory Cues in Symmetric and Asymmetric Shared Collaborative Virtual Spaces,Sungchul Jung,April 2021,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 5, Issue CSCW1",https://dl.acm.org/doi/10.1145/3449146
Practice-informed Patterns for Organising Large Groups in Distributed Mixed Reality Collaboration,Emily Wong,Open Access,CHI '24: Proceedings of the CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3613904.3642502
An asymmetric collaborative system for architectural-scale space design,Yuta Sugiura,December 2018,VRCAI '18: Proceedings of the 16th ACM SIGGRAPH International Conference on Virtual-Reality Continuum and its Applications in Industry,https://dl.acm.org/doi/10.1145/3284398.3284416
Dollhouse VR,Hikaru Ibayashi,November 2015,SA '15: SIGGRAPH Asia 2015 Emerging Technologies,https://dl.acm.org/doi/10.1145/2818466.2818480
Coordinating Clinical Teams,Angelique Taylor,Open Access,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 3, Issue CSCW",https://dl.acm.org/doi/10.1145/3359323
OmniGlobeVR,Zhengqing Li,July 2020,DIS '20: Proceedings of the 2020 ACM Designing Interactive Systems Conference,https://dl.acm.org/doi/10.1145/3357236.3395429
A collaborative approach of augmented reality for maritime domain,Gérald Moulis,March 2012,VRIC '12: Proceedings of the 2012 Virtual Reality International Conference,https://dl.acm.org/doi/10.1145/2331714.2331721
Remote Expert for Assistance in a Physical Operational Task,Jari Kangas,April 2018,CHI EA '18: Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3170427.3188598
OmniGlobeVR: A Collaborative 360° Communication System for VR,Zhengqing Li,April 2020,CHI EA '20: Extended Abstracts of the 2020 CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3334480.3382869
OmniGlobeVR: A Collaborative 360° Communication System for VR,Zhengqing Li,April 2020,CHI EA '20: Extended Abstracts of the 2020 CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3334480.3382869
Investigating the use of Different Visual Cues to Improve Social Presence within a 360 Mixed Reality Remote Collaboration*,Theophilus Teo,November 2019,VRCAI '19: Proceedings of the 17th International Conference on Virtual-Reality Continuum and its Applications in Industry,https://dl.acm.org/doi/10.1145/3359997.3365687
Collaboration analytics,Qihua Wang,October 2010,CIKM '10: Proceedings of the 19th ACM international conference on Information and knowledge management,https://dl.acm.org/doi/10.1145/1871437.1871748
A Technique for Mixed Reality Remote Collaboration using 360 Panoramas in 3D Reconstructed Scenes,Theophilus Teo,November 2019,VRST '19: Proceedings of the 25th ACM Symposium on Virtual Reality Software and Technology,https://dl.acm.org/doi/10.1145/3359996.3364238
High performance data analysis for particle physics using the Gfarm file system,Nobuhiko Katayama,November 2006,SC '06: Proceedings of the 2006 ACM/IEEE conference on Supercomputing,https://dl.acm.org/doi/10.1145/1188455.1188799
A service architecture for mobile teamwork,Engin Kirda,July 2002,SEKE '02: Proceedings of the 14th international conference on Software engineering and knowledge engineering,https://dl.acm.org/doi/10.1145/568760.568850
Computing for the social good and cultivating cultures for ethical computing,Joseph Mertz,July 2015,"ACM SIGCAS Computers and Society (SIGCAS), Volume 45, Issue 2",https://dl.acm.org/doi/10.1145/2809957.2809970
Mobile mathematics communication,Nadya Belov,September 2005,"ACM SIGSAM Bulletin (SIGSAM), Volume 39, Issue 3",https://dl.acm.org/doi/10.1145/1113439.1113459
How Values Shape Collaboration Between Patients with Multiple Chronic Conditions and Spousal Caregivers,Andrew B. L. Berry,May 2017,CHI '17: Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3025453.3025923
Teamwork between non-equals,Hinrich E. G. Bonin,December 1992,"ACM SIGOIS Bulletin (SIGOIS), Volume 13, Issue 3",https://dl.acm.org/doi/10.1145/152683.152705
Exploring Real-Time Collaboration in Crowd-Powered Systems Through a UI Design Tool,Sang Won Lee,November 2018,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 2, Issue CSCW",https://dl.acm.org/doi/10.1145/3274373
Pluridisciplinary development of an innovative system demonstrator using augmented Reality for 360° awareness of French navy ships,Gérald Moulis,October 2018,Ergo'IA '18: Proceedings of the 16th Ergo'IA “Ergonomie Et Informatique Avancée” Conference,https://dl.acm.org/doi/10.1145/3317326.3317331
Visualizing real-time language-based feedback on teamwork behavior in computer-mediated groups,Gilly Leshed,April 2009,CHI '09: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/1518701.1518784
VAST,Jiulong Shan,December 2004,ISPA'04: Proceedings of the Second international conference on Parallel and Distributed Processing and Applications,https://dl.acm.org/doi/10.1007/978-3-540-30566-8_59
Understanding distributed collaboration in emergency animal disease response,Jane Li,November 2009,OZCHI '09: Proceedings of the 21st Annual Conference of the Australian Computer-Human Interaction Special Interest Group: Design: Open 24/7,https://dl.acm.org/doi/10.1145/1738826.1738838
Multi-Compression Scale DNN Inference Acceleration based on Cloud-Edge-End Collaboration,Huamei Qi,January 2024,"ACM Transactions on Embedded Computing Systems (TECS), Volume 23, Issue 1",https://dl.acm.org/doi/10.1145/3634704
Towards a Smart Learning Management System (smart-LMS) to Improve Collaborative Learning in Higher Education,Abderrahim El Mhouti,October 2018,SCA '18: Proceedings of the 3rd International Conference on Smart City Applications,https://dl.acm.org/doi/10.1145/3286606.3286784
Collaborative caching for efficient dissemination of personalized video streams in resource constrained environments,Suchendra Bhandarkar,February 2012,MMSys '12: Proceedings of the 3rd Multimedia Systems Conference,https://dl.acm.org/doi/10.1145/2155555.2155585
Distributed collaborative data analysis with heterogeneous visualisation systems,T. Düssel,May 2007,EGPGV '07: Proceedings of the 7th Eurographics conference on Parallel Graphics and Visualization,https://dl.acm.org/doi/10.5555/2386154.2386157
Collaborative computing,Ming C. Hao,August 1995,COCS '95: Proceedings of conference on Organizational computing systems,https://dl.acm.org/doi/10.1145/224019.224040
ShARe: Enabling Co-Located Asymmetric Multi-User Interaction for Augmented Reality Head-Mounted Displays,Pascal Jansen,October 2020,UIST '20: Proceedings of the 33rd Annual ACM Symposium on User Interface Software and Technology,https://dl.acm.org/doi/10.1145/3379337.3415843
"Expert recommendation based on social drivers, social network analysis, and semantic data representation",Maryam Fazel-Zarandi,October 2011,HetRec '11: Proceedings of the 2nd International Workshop on Information Heterogeneity and Fusion in Recommender Systems,https://dl.acm.org/doi/10.1145/2039320.2039326
ColSLAM: A Versatile Collaborative SLAM System for Mobile Phones Using Point-Line Features and Map Caching,Wanting Li,October 2023,MM '23: Proceedings of the 31st ACM International Conference on Multimedia,https://dl.acm.org/doi/10.1145/3581783.3611995
Ïnfïnïty,Alvin Cheung,June 2007,MobiDE '07: Proceedings of the 6th ACM international workshop on Data engineering for wireless and mobile access,https://dl.acm.org/doi/10.1145/1254850.1254856
Model-Agnostic Decentralized Collaborative Learning for On-Device POI Recommendation,Jing Long,July 2023,SIGIR '23: Proceedings of the 46th International ACM SIGIR Conference on Research and Development in Information Retrieval,https://dl.acm.org/doi/10.1145/3539618.3591733
Role-based access management for ad-hoc collaborative sharing,Jing Jin,June 2006,SACMAT '06: Proceedings of the eleventh ACM symposium on Access control models and technologies,https://dl.acm.org/doi/10.1145/1133058.1133086
Group vs Individual,Leila Homaeian,April 2018,CHI '18: Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3173574.3173647
kARbon,Jonas Etzold,February 2014,CSCW Companion '14: Proceedings of the companion publication of the 17th ACM conference on Computer supported cooperative work & social computing,https://dl.acm.org/doi/10.1145/2556420.2556793
Collaborative filtering recommendation with threshold value of the equipotential plane in implication field,Hoang Tan Nguyen,February 2018,ICMLSC '18: Proceedings of the 2nd International Conference on Machine Learning and Soft Computing,https://dl.acm.org/doi/10.1145/3184066.3184072
Synchronization-Aware NAS for an Efficient Collaborative Inference on Mobile Platforms,Beom Woo Kang,June 2023,"LCTES 2023: Proceedings of the 24th ACM SIGPLAN/SIGBED International Conference on Languages, Compilers, and Tools for Embedded Systems",https://dl.acm.org/doi/10.1145/3589610.3596284
ADQDA,Jiali Liu,November 2021,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 5, Issue ISS",https://dl.acm.org/doi/10.1145/3488534
Designing for social play in co-located mobile games,William Goddard,February 2016,ACSW '16: Proceedings of the Australasian Computer Science Week Multiconference,https://dl.acm.org/doi/10.1145/2843043.2843476
Clustering-based factorized collaborative filtering,Nima Mirbakhsh,October 2013,RecSys '13: Proceedings of the 7th ACM conference on Recommender systems,https://dl.acm.org/doi/10.1145/2507157.2507233
Mixed Reality Remote Collaboration Combining 360 Video and 3D Reconstruction,Theophilus Teo,May 2019,CHI '19: Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3290605.3300431
An optimization approach to group coupling in heterogeneous collaborative systems,Carlos D. Correa,November 2005,GROUP '05: Proceedings of the 2005 ACM International Conference on Supporting Group Work,https://dl.acm.org/doi/10.1145/1099203.1099251
SLIM--A Lightweight Environment for Synchronous Collaborative Modeling,Christian Thum,October 2009,MODELS '09: Proceedings of the 12th International Conference on Model Driven Engineering Languages and Systems,https://dl.acm.org/doi/10.1007/978-3-642-04425-0_11
Display and presence disparity in Mixed Presence Groupware,Anthony Tang,January 2004,AUIC '04: Proceedings of the fifth conference on Australasian user interface - Volume 28,https://dl.acm.org/doi/10.5555/976310.976320
Handoff and Deposit: Designing Temporal Coordination in Cross-Device Transfer Techniques for Mixed-Focus Collaboration,Leila Homaeian,November 2022,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 6, Issue CSCW2",https://dl.acm.org/doi/10.1145/3555192
LiquiDADE: a liquid-based distributed agile and adaptive development environment (DADE) multi-device tool,Claudio De Meo,November 2018,EnSEmble 2018: Proceedings of the 1st ACM SIGSOFT International Workshop on Ensemble-Based Software Engineering,https://dl.acm.org/doi/10.1145/3281022.3281024
Cross-Platform Immersive Visualization and Navigation with Augmented Reality,Akshay Murari,November 2021,VINCI '21: Proceedings of the 14th International Symposium on Visual Information Communication and Interaction,https://dl.acm.org/doi/10.1145/3481549.3481564
Issues and Experiences in Building Heterogeneous Co-Editing Systems,Bryden Cho,December 2019,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 3, Issue GROUP",https://dl.acm.org/doi/10.1145/3361126
Learnable Pillar-based Re-ranking for Image-Text Retrieval,Leigang Qu,Open Access,SIGIR '23: Proceedings of the 46th International ACM SIGIR Conference on Research and Development in Information Retrieval,https://dl.acm.org/doi/10.1145/3539618.3591712
Sharedsphere,Gun A. Lee,November 2017,SA '17: SIGGRAPH Asia 2017 Emerging Technologies,https://dl.acm.org/doi/10.1145/3132818.3132827
Collaborative Virtual Reality for Low-Latency Interaction,Carmine Elvezio,Public Access,UIST '18 Adjunct: Adjunct Proceedings of the 31st Annual ACM Symposium on User Interface Software and Technology,https://dl.acm.org/doi/10.1145/3266037.3271643
A prototype notebook-based environment for computational tools,Jenifer L. Skidmore,November 1998,SC '98: Proceedings of the 1998 ACM/IEEE conference on Supercomputing,https://dl.acm.org/doi/10.5555/509058.509080
Mixed reality collaboration through sharing a live panorama,Gun A. Lee,November 2017,SA '17: SIGGRAPH Asia 2017 Mobile Graphics & Interactive Applications,https://dl.acm.org/doi/10.1145/3132787.3139203
Impact of Infusing Interactive and Collaborative Learning in Teaching Introductory Programming in a Dynamic Class,Md Mahmudur Rahman,Public Access,SIGCSE '20: Proceedings of the 51st ACM Technical Symposium on Computer Science Education,https://dl.acm.org/doi/10.1145/3328778.3372608
eyemR-Vis: Using Bi-Directional Gaze Behavioural Cues to Improve Mixed Reality Remote Collaboration,Allison Jing,May 2021,CHI EA '21: Extended Abstracts of the 2021 CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3411763.3451844
Near-Gaze Visualisations of Empathic Communication Cues in Mixed Reality Collaboration,Allison Jing,July 2022,SIGGRAPH '22: ACM SIGGRAPH 2022 Posters,https://dl.acm.org/doi/10.1145/3532719.3543213
"Demonstrating SurfaceCast: Ubiquitous, Cross-Device Surface Sharing",Florian Echtler,November 2023,ISS Companion '23: Companion Proceedings of the 2023 Conference on Interactive Surfaces and Spaces,https://dl.acm.org/doi/10.1145/3626485.3626545
eyemR-Talk: Using Speech to Visualise Shared MR Gaze Cues,Allison Jing,December 2021,SA '21 Posters: SIGGRAPH Asia 2021 Posters,https://dl.acm.org/doi/10.1145/3476124.3488618
Wireless wearables for virtual and augmented reality,Steven Feiner,October 2016,HotWireless '16: Proceedings of the 3rd Workshop on Hot Topics in Wireless,https://dl.acm.org/doi/10.1145/2980115.2980125
Co-designing Inclusive Multisensory Story Mapping with Children with Mixed Visual Abilities,Clare Cullen,June 2019,IDC '19: Proceedings of the 18th ACM International Conference on Interaction Design and Children,https://dl.acm.org/doi/10.1145/3311927.3323146
FS-REAL: Towards Real-World Cross-Device Federated Learning,Daoyuan Chen,August 2023,KDD '23: Proceedings of the 29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,https://dl.acm.org/doi/10.1145/3580305.3599829
"SurfaceCast: Ubiquitous, Cross-Device Surface Sharing",Florian Echtler,Open Access,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 7, Issue ISS",https://dl.acm.org/doi/10.1145/3626475
Remixing realities,Viveka Weiley,October 2009,C&C '09: Proceedings of the seventh ACM conference on Creativity and cognition,https://dl.acm.org/doi/10.1145/1640233.1640292
"PDC 04: Proceedings of the eighth conference on Participatory design: Artful integration: interweaving media, materials and practices - Volume 1",Andrew Clement,July 2004,No publisher,No doi
Towards Social Interaction between 1st and 2nd Person Perspectives on Bodily Play,Bo-Han Chen,October 2021,UIST '21 Adjunct: Adjunct Proceedings of the 34th Annual ACM Symposium on User Interface Software and Technology,https://dl.acm.org/doi/10.1145/3474349.3480211
Blended interaction spaces for distributed team collaboration,Kenton O'hara,May 2011,"ACM Transactions on Computer-Human Interaction (TOCHI), Volume 18, Issue 1",https://dl.acm.org/doi/10.1145/1959022.1959025
eyemR-Vis: A Mixed Reality System to Visualise Bi-Directional Gaze Behavioural Cues Between Remote Collaborators,Allison Jing,May 2021,CHI EA '21: Extended Abstracts of the 2021 CHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/3411763.3451545
Combining predictions for accurate recommender systems,Michael Jahrer,July 2010,KDD '10: Proceedings of the 16th ACM SIGKDD international conference on Knowledge discovery and data mining,https://dl.acm.org/doi/10.1145/1835804.1835893
TwinSpace,Derek F. Reilly,October 2010,UIST '10: Proceedings of the 23nd annual ACM symposium on User interface software and technology,https://dl.acm.org/doi/10.1145/1866029.1866050
Learning Inter-Agent Synergies in Asymmetric Multiagent Systems,Gaurav Dixit,May 2023,AAMAS '23: Proceedings of the 2023 International Conference on Autonomous Agents and Multiagent Systems,https://dl.acm.org/doi/10.5555/3545946.3598812
Teaching students global software engineering skills using distributed scrum,Maria Paasivaara,May 2013,ICSE '13: Proceedings of the 2013 International Conference on Software Engineering,https://dl.acm.org/doi/10.5555/2486788.2486945
A method to form learners groups in computer-supported collaborative learning systems,Rafael Duque Medina,November 2013,TEEM '13: Proceedings of the First International Conference on Technological Ecosystem for Enhancing Multiculturality,https://dl.acm.org/doi/10.1145/2536536.2536576
Astaire,Zhuoming Zhou,October 2019,CHI PLAY '19: Proceedings of the Annual Symposium on Computer-Human Interaction in Play,https://dl.acm.org/doi/10.1145/3311350.3347152
Distributed design review in virtual environments,Mike Daily,September 2000,CVE '00: Proceedings of the third international conference on Collaborative virtual environments,https://dl.acm.org/doi/10.1145/351006.351013
Explorations in an activity-centric collaboration environment,Beth Brownholtz,April 2004,CHI EA '04: CHI '04 Extended Abstracts on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/985921.985926
Can GRID services provide answers to the challenges of national health information sharing?,I. Bilykh,October 2003,CASCON '03: Proceedings of the 2003 conference of the Centre for Advanced Studies on Collaborative research,https://dl.acm.org/doi/10.5555/961322.961330
IMRCE,Mohamad Salimian,October 2018,SUI '18: Proceedings of the 2018 ACM Symposium on Spatial User Interaction,https://dl.acm.org/doi/10.1145/3267782.3267794
ReDi,Wen Sun,October 2010,MM '10: Proceedings of the 18th ACM international conference on Multimedia,https://dl.acm.org/doi/10.1145/1873951.1874071
"The ""mighty mouse"" multi-screen collaboration tool",Kellogg S. Booth,October 2002,UIST '02: Proceedings of the 15th annual ACM symposium on User interface software and technology,https://dl.acm.org/doi/10.1145/571985.572016
CKAN,Ze Wang,July 2020,SIGIR '20: Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval,https://dl.acm.org/doi/10.1145/3397271.3401141
TailorFL,Yongheng Deng,Open Access,SenSys '22: Proceedings of the 20th ACM Conference on Embedded Networked Sensor Systems,https://dl.acm.org/doi/10.1145/3560905.3568503
Extended reality in global software delivery,Vibhu Saujanya Sharma,May 2019,ICGSE '19: Proceedings of the 14th International Conference on Global Software Engineering,https://dl.acm.org/doi/10.1109/ICGSE.2019.000-1
CIDER: Collaborative Interior Design in Extended Reality,Deborah Pintani,Open Access,CHItaly '23: Proceedings of the 15th Biannual Conference of the Italian SIGCHI Chapter,https://dl.acm.org/doi/10.1145/3605390.3605419
Understanding Collaborative Writing Practices of People with Visual Impairments,Maitraye Das,October 2018,UbiComp '18: Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers,https://dl.acm.org/doi/10.1145/3267305.3277807
The Impact of Sharing Gaze Behaviours in Collaborative Mixed Reality,Allison Jing,November 2022,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 6, Issue CSCW2",https://dl.acm.org/doi/10.1145/3555564
SecSpace,Derek Reilly,June 2014,EICS '14: Proceedings of the 2014 ACM SIGCHI symposium on Engineering interactive computing systems,https://dl.acm.org/doi/10.1145/2607023.2607039
Touchers and mousers,Christian Müller-Tomfelde,April 2008,CHI '08: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/1357054.1357234
Touchers and mousers,Christian Müller-Tomfelde,April 2008,CHI '08: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,https://dl.acm.org/doi/10.1145/1357054.1357234
A design notation for mobile collaborative mixed systems,Philippe Renevier,June 2004,UbiMob '04: Proceedings of the 1st French-speaking conference on Mobility and ubiquity computing,https://dl.acm.org/doi/10.1145/1050873.1050891
BIRP: Batch-aware Inference Workload Redistribution and Parallel Scheme for Edge Collaboration,Hesheng Sun,September 2023,ICPP '23: Proceedings of the 52nd International Conference on Parallel Processing,https://dl.acm.org/doi/10.1145/3605573.3605615
ATCoPE,Hongfei Fan,October 2012,GROUP '12: Proceedings of the 2012 ACM International Conference on Supporting Group Work,https://dl.acm.org/doi/10.1145/2389176.2389194
Authenticity in a Digital Era,Lorraine Tosi,August 2017,DocEng '17: Proceedings of the 2017 ACM Symposium on Document Engineering,https://dl.acm.org/doi/10.1145/3103010.3121034
Towards Intelligent Interfaces for Mixed-Focus Collaboration,Anton Sigitov,July 2018,"UMAP '18: Adjunct Publication of the 26th Conference on User Modeling, Adaptation and Personalization",https://dl.acm.org/doi/10.1145/3213586.3225239
Design Guidelines for Cooperative UAV-supported Services and Applications,Ismaeel Al Ridhawi,October 2021,"ACM Computing Surveys (CSUR), Volume 54, Issue 9",https://dl.acm.org/doi/10.1145/3467964
Multiagent Collaborative Learning for Distributed Business Systems,Yutao Guo,July 2004,AAMAS '04: Proceedings of the Third International Joint Conference on Autonomous Agents and Multiagent Systems - Volume 3,https://dl.acm.org/doi/10.5555/1018411.1018885
Who Writes Wikipedia?,Anamika Chhabra,October 2020,OpenSym '20: Proceedings of the 16th International Symposium on Open Collaboration,https://dl.acm.org/doi/10.1145/3412569.3412578
A Study into the Effect of Mobile Device Configurations on Co-Located Collaboration using AR,Thomas Wells,September 2022,"Proceedings of the ACM on Human-Computer Interaction (PACMHCI), Volume 6, Issue MHCI",https://dl.acm.org/doi/10.1145/3546735
Towards the understanding of human perceptual quality in tele-immersive shared activity,Zixia Huang,February 2012,MMSys '12: Proceedings of the 3rd Multimedia Systems Conference,https://dl.acm.org/doi/10.1145/2155555.2155560
Categorisation of data management solutions for heterogeneous data in collaborative virtual engineering,Stephan Vornholt,June 2010,IWDE '10: Proceedings of the First International Workshop on Digital Engineering,https://dl.acm.org/doi/10.1145/1837154.1837156
Hand gestures and visual annotation in live 360 panorama-based mixed reality remote collaboration,Theophilus Teo,December 2018,OzCHI '18: Proceedings of the 30th Australian Conference on Computer-Human Interaction,https://dl.acm.org/doi/10.1145/3292147.3292200
Fuzzing@Home: Distributed Fuzzing on Untrusted Heterogeneous Clients,Daehee Jang,October 2022,"RAID '22: Proceedings of the 25th International Symposium on Research in Attacks, Intrusions and Defenses",https://dl.acm.org/doi/10.1145/3545948.3545971
